G_01_L2_score,U_02_L2_score,U_03_L2_score,CF_01_L2_score,CF_02_L2_score,CF_04_L2_score,CF_05_L2_score,CF_06_L2_score,CF_07_L2_score,C_01_L2_score,C_02_L2_score,EF_01_L2_score,EF_03_L2_score,EF_05_L2_score,EF_06_L2_score,IT_03_L2_score,IT_04_L2_score,G_01_L3_score,IT_01_L3_score,EF_02_Publication_L3_score,EF_02_Cloud_L3_score,EF_02_LabManagement_L3_score,EF_02_DataAnalysis_L3_score,EF_02_DataVisual_L3_score,EF_02_DataImport_L3_score,EF_02_DataManagementPlanning_L3_score,EF_02_Coding_L3_score,EF_02_RefManagement_L3_score,EF_02_DocFormatting_L3_score,EF_02_Collab_L3_score,EF_02_LES_L3_score,EF_02_PM_L3_score
0.0,0,0.7,0.536,1.0,0.25,0.632,0.355,0.536,0.851,0.4,0.52,0.375,0.385,0.0,0.7270000000000001,0.308,0,1.0,0.0,0.6,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.429,0,0.0
0.0,0,0.1,0.33599999999999997,1.0,0.25,0.632,0.607,0.501,0.481,0.2,0.76,0.0,0.385,0.154,0.545,0.308,0,1.0,0.0,1.0,0.0,0.0,0.25,0.0,0,0.0,0.0,0.667,0.572,0,0.0
0.0,0,0.7,0.513,1.0,0.85,0.843,0.474,0.746,0.851,0.4,0.92,0.5,0.0,0.847,0.7270000000000001,1.0,0,0.0,0.286,0.6,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.429,0,0.0
0.5,0,0.7,0.458,1.0,1.0,0.843,0.5469999999999999,0.534,0.37,0.0,0.64,0.0,0.385,0.0,0.909,0.538,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
0.0,0,0.7,0.258,1.0,0.35,0.632,0.163,0.534,0.40700000000000003,0.4,0.64,0.5,0.0,0.0,0.545,0.308,0,0.0,0.0,1.0,0.0,0.0,0.25,0.333,0,0.0,0.0,0.0,0.429,0,0.0
0.5,0,0.1,0.43000000000000005,1.0,0.5,0.685,0.4,0.534,0.851,0.6000000000000001,0.72,0.375,0.77,0.6930000000000001,1.0,1.0,0,0.0,0.286,0.0,0.0,0.0,0.25,0.0,0,0.0,0.0,0.667,0.286,0,0.0
0.0,0,0.7,0.381,1.0,0.15,0.632,0.508,0.534,0.851,0.6000000000000001,0.56,0.5,1.0010000000000001,0.847,0.7270000000000001,0.46199999999999997,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
0.0,0,0.7,0.647,0.8860000000000001,0.25,0.896,0.546,0.446,0.851,0.0,0.64,0.5,0.385,0.154,0.909,1.0,0,0.0,0.0,0.0,0.0,0.25,0.5,1.0,0,0.0,0.0,0.0,0.143,0,0.0
0.5,0,0.7,0.5940000000000001,1.0,0.85,0.685,0.708,0.6080000000000001,0.629,0.2,0.48,0.0,0.77,0.0,0.545,0.8460000000000001,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
0.0,0,0.7,0.614,0.8459999999999999,0.7,0.896,0.601,0.66,0.851,0.4,0.76,0.5,0.77,0.0,0.636,1.0,0,0.0,0.0,0.6,0.0,0.0,0.25,0.0,1,0.0,1.0,0.667,0.429,0,0.0
