ID,G_01_L2_score,U_02_L2_score,U_03_L2_score,CF_01_L2_score,CF_02_L2_score,CF_04_L2_score,CF_05_L2_score,CF_06_L2_score,CF_07_L2_score,C_01_L2_score,C_02_L2_score,EF_01_L2_score,EF_03_L2_score,EF_05_L2_score,EF_06_L2_score,IT_03_L2_score,IT_04_L2_score,G_01_L3_score,IT_01_L3_score,EF_02_Publication_L3_score,EF_02_Cloud_L3_score,EF_02_LabManagement_L3_score,EF_02_DataAnalysis_L3_score,EF_02_DataVisual_L3_score,EF_02_DataImport_L3_score,EF_02_DataManagementPlanning_L3_score,EF_02_Coding_L3_score,EF_02_RefManagement_L3_score,EF_02_DocFormatting_L3_score,EF_02_Collab_L3_score,EF_02_LES_L3_score,EF_02_PM_L3_score,b1_score,b2_score,b3_score,b4_score,b5_score,b6_score,overall_score
ELN-43,0.0,0,0.7,0.8256,1.0,0.85,0.8947,0.4067,0.7648,0.8518,0.8,0.72,0.5,1.0,0.8461,1.0,0.8462,0,1.0,0.0,0.0,0.0,0.25,0.5,1.0,0,0.0,1.0,0.3333,0.1429,0,0.0,0.0,0.0428,0.1224,0.0707,0.0329,0.0571,0.3259
ELN-12,0.0,0,0.7,0.8843,1.0,0.45,0.6842,0.6381,0.5528,0.8518,0.4,0.64,0.375,0.7692,0.0,0.8182,0.8462,0,1.0,0.7143,1.0,0.0,0.75,0.75,0.6667,1,1.0,1.0,1.0,0.5715,0,0.6667,0.0,0.0428,0.127,0.0606,0.0292,0.0361,0.2958
ELN-14,0.0,0,0.7,0.7048,1.0,0.6,0.8421,0.6761,0.4457,0.8518,0.6,0.64,0.375,0.3846,0.0,1.0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0428,0.1128,0.0657,0.0292,0.0441,0.2947
ELN-46,0.0,0,0.6,0.683,1.0,0.45,0.8421,0.7506,0.4457,0.8518,0.6,0.64,0.375,1.0,0.0,0.7273,0.6923,0,0.0,0.4286,1.0,0.0,0.5,0.75,1.0,0,1.0,0.0,1.0,0.5715,0,0.6667,0.0,0.0428,0.1111,0.0657,0.0292,0.0321,0.2809
ELN-08,0.0,0,0.7,0.648,0.8876,0.25,0.8947,0.5466,0.4457,0.8518,0.0,0.64,0.5,0.3846,0.1538,0.9091,1.0,0,0.0,0.0,0.0,0.0,0.25,0.5,1.0,0,0.0,0.0,0.0,0.1429,0,0.0,0.0,0.0428,0.1019,0.0506,0.0292,0.0531,0.2777
ELN-07,0.0,0,0.7,0.3817,1.0,0.15,0.6316,0.5086,0.5335,0.8518,0.6,0.56,0.5,1.0,0.8461,0.7273,0.4615,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0428,0.0873,0.0657,0.0256,0.0321,0.2534
ELN-13,0.0,0,0.7,0.7891,1.0,0.45,0.8421,0.6761,0.4457,0.8518,0.4,0.72,0.0,0.7692,0.3077,0.8182,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.1429,0,0.0,0.0,0.0,0.1195,0.0606,0.0329,0.0361,0.2491
ELN-04,0.5,0,0.7,0.4586,1.0,1.0,0.8421,0.5469,0.5335,0.3703,0.0,0.64,0.0,0.3846,0.0,0.9091,0.5385,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0072,0.0428,0.0934,0.022,0.0292,0.0531,0.2477
ELN-67,0.0,0,0.7,0.6615,1.0,0.85,0.6316,0.5086,0.5335,0.6296,0.0,0.36,0.5,0.7692,0.1538,0.9091,0.6923,0,0.0,0.0,0.0,0.0,0.0,0.25,0.3333,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0428,0.1094,0.0374,0.0165,0.0401,0.2462
ELN-16,0.5,0,0.7,0.6686,1.0,0.6,0.6842,0.5639,0.5528,0.8518,0.6,0.56,0.0,0.3846,0.0,0.5455,1.0,0,0.0,0.7143,1.0,0.0,0.5,0.75,1.0,1,1.0,1.0,1.0,0.7144,0,0.6667,0.0072,0.0,0.11,0.0657,0.0256,0.0371,0.2454
