ID,TL-01,TL-02,TL-03,TL-04,TL-05,TL-06,TL-07,TL-08,TL-09,TL-10,G-01,G-02,G-03,G-04,G-05,U-01,U-02,U-03,U-04,U-05,CF-01,CF-02,CF-03,CF-04,CF-05,CF-06,CF-07,C-01,C-02,EF-01,EF-02,EF-03,EF-04,EF-05,EF-06,IT-01,IT-02,IT-03,IT-04,IT-05,IT-06
ELN-01,Benchling Notebook,Benchling Notebook is more than an ELN: Capture structured and unstructured lab work with the first cloud-based notebook built for biotech.,Benchling,"Benchling began over a decade ago in an academic lab, when our founders realized that the technology needed to support the complexity and pace of science wasn't available. So they created their own, with modern science and collaboration in mind. Today, Benchling serves the world’s biotech leaders and innovators, big and small.",https://www.benchling.com/benchling-eln/,Active,"Volume 5, 2024 released June 2024",12/07/2024,Unknown,Unknown,Closed Source,"Biology,
Chemistry,
Biochemistry,
Biotech","Industry,
Free,
Chargeable / Paid for / fee-based,
Per person / Tiered Pricing,
Academic",Demo,"Switzerland,
USA",Unknown,English,"User training (online, on site),
Online documentation,
Support by provider (Consulting)","No,
Unknown",None,"Chemical editor/sketching,
Barcode Scanner,
With external links,
Plain text editor,
With internal links,
Table editor,
Annotation",All formats,Drag and Drop/File Chooser,Formats suitable for publication,Define own templates,"Filtering,
Advanced/conditional search","Rights management,
Role management,
Notifications,
Task assignment","Audit Trail,
Electronic signature,
Timestamping,
Versioning","ISO 27001,
General Data Protection Regulation (GDPR),
FDA CFR 21 Part 11","Sample Tracking,
Inventory (devices),
LIMS connectivity,
Instrument management","Dropbox,
Egnyte,
Google Drive,
Other vendor products,
Jupyter,
Evernote,
OneNote",Autoupload/folder watch,Yes,Calendar,"Yes,
Cross-project workflows,
Project-related workflows","Other API,
REST API,
SDK",Unknown,"Browser based,
Local client",Provider's Cloud,Software as a Service,Unknown
ELN-02,Genemod,"Genemod provides a platform to allow life scientists, researchers, and other customers to collaborate in their labs and streamline data management. ","Genemod, Inc.","Genemod accelerates life sciences R&D by improving collaboration for every team so that scientists can work on big ideas, without the busywork.",https://genemod.net/,Active,Accessed trial,22/07/2024,Secure infrastructure,Export to document format,Closed Source,"Life Sciences,
Biotech,
Biology,
Pharmacology","Freemium (Number of users, functions),
Academic,
Industry,
Per person / Tiered Pricing",Demo,USA,Yes,English,Online documentation,Yes,None,"With internal links,
Table editor,
Barcode Scanner,
Rich text editor",All formats,Drag and Drop/File Chooser,Formats suitable for publication,Define own templates,"File/data hierarchy,
Tagging,
Filtering,
Advanced/conditional search","Notifications,
Comments,
Role management,
Real-time collaboration","Audit Trail,
Versioning","ISO 27001,
SOC2,
GxP,
FDA CFR 21 Part 11","Materials database,
Instrument management,
Inventory (devices),
Sample Tracking,
Ordering function,
Freezer Management","One Drive,
Microsoft Office Plug-in,
Dropbox,
Slack,
Google Drive",None,No,Calendar,Reports,Other API,Yes,Browser based,Provider's Cloud,Software as a Service,Unknown
ELN-03,Labfolder (Labforward),"Labfolder ELN enables documents and data to be stored in an effective way. As a result, it enables efficient processes and increases the overall quality of documentation. The collaborative nature of Labfolder enables lab technicians and lab managers to share and review data as a team or even across the organisation. Labregister, integrated with Labfolder, is an effective and comprehensive laboratory inventory management system that facilitates an overview of a laboratory's entire inventory. Researchers can list materials with their properties to ensure centralised organisation. The system allows scientists to track each inventory item through its specific life cycle and provides a direct link to lab notes. Laboperator, our innovative solution for device integrations and workflow automations, enables data transfer directly from the hardware into the ELN. The combination of our products lays the foundation for all future digital transformation needs by focusing on connectivity.",Labforward GmbH,Labforward GmbH is a German company based in Berlin. Labforward builds thoughtful productivity platforms for research teams and supports scientists in their quest to make breakthrough discoveries.,https://labfolder.com/,Active,v3.8.1 released 10 July 2024,24/07/2024,"Continuous maintenance,
Backup and restore,
Encryption in transit","Export to document format,
Export to structured format,
Export to packed format",Closed Source,Generic,"Academic,
Industry,
Freemium (Number of users, functions),
Per person / Tiered Pricing,
Chargeable / Paid for / fee-based","Classroom,
Demo",Germany,No,"English,
French,
German","Online documentation,
User training (online, on site),
Support by provider (Consulting)",No,Unknown,"Barcode Scanner,
Freehand/Sketches,
Table editor,
With internal links,
Plain text editor,
XHTML-Editor,
With external links",All formats,"Drag and Drop/File Chooser,
Mobile phone photo (via app)","Complete content in document format,
Complete content in machine readable format,
Formats suitable for long term archiving,
Formats suitable for publication","Define own templates,
Import of own templates,
Subject specific templates,
Microtitre plate templates","Database queries,
Full text search,
Advanced/conditional search","Comments,
Rights management,
Role management,
Real-time collaboration","Audit Trail,
Electronic signature,
Versioning,
Timestamping","Good Manufacturing practice (GMP),
Good Laboratory Practice (GLP),
HIPAA,
ISO 27001,
FDA CFR 21 Part 11","Materials database,
Sample Tracking,
Asset management,
Freezer Management,
Instrument management,
Inventory (devices),
LIMS connectivity,
Ordering function","Dropbox,
Figshare,
On request,
Create own plug-ins","On request,
Data analysis,
Device control,
Autoupload/folder watch",Yes,None,"Cross-project workflows,
Export possible,
Graphical,
Import possible,
Project-related workflows,
Yes,
Reports",REST API,No,"Browser based,
Responsive Design","Cloud of own choice,
Local,
Provider's Cloud","On-premises,
Software as a Service",Unknown
ELN-04,LabID,"Lab Integrated Data (LabID) is a web platform for fundamental research data-management, featuring a lab inventory system, an Electronic Lab Notebook (ELN) coupled to a powerful Dataset & Sample management system.","Genome Biology Computational Support, European Molecular Biology Laboratory (EMBL)","The Genome Biology Computational Support (GBCS) provides essential computational support to the GB Unit and EMBL-wide, by implementing a coherent infrastructure that improves data management, helps ensure data integrity and reproducible science (FAIR data) and empowers biologists to analyse their own data.",https://gbcs.embl.de/labid,Active,Release v24.6.2 a month old,23/07/2024,"Secure software development life cycle (SDLC),
Role-based access,
Authentication,
Continuous maintenance","Backups of all notebooks simultaneously with transfer to an institutional repository or other storage location,
Export to structured format,
Individual backups of notebooks in multiple formats","Open Source,
MIT","Genetics,
Biology,
Consumables,
Generic,
Life Sciences",Free,Demo,Germany,Yes,English,"Online documentation,
User training (online, on site),
Support by provider (Consulting)",Yes,Unknown,"Browser forms,
Rich text editor,
With internal links,
With external links,
Table editor",All formats,"Drag and Drop/File Chooser,
Mobile phone photo (via app)","Complete content in document format,
Formats suitable for long term archiving,
Formats suitable for publication,
Complete content in machine readable format,
Direct publication option","Import of own templates,
Define own templates,
Subject specific templates","Full text search,
File/data hierarchy,
Advanced/conditional search","Role management,
Comments,
Rights management","Timestamping,
Locking",None,"Freezer Management,
Inventory (devices),
Materials database,
Ordering function,
Sample Tracking","Libre Office,
Galaxy",On request,Unknown,Task management,Unknown,"REST API,
Command line input",Yes,"Browser based,
Local client,
Responsive Design",Local,On-premises,"Linux,
MacOS"
ELN-05,Labstep,"Labstep provides a modern, intuitive interface for scientific research that combines ELN, LIMS, LES and Order Management into a single collaborative environment.",Labstep Ltd.,In 2015 the first prototype of the platform was created within the University of Oxford. Now owned by StarLIMS.,https://www.labstep.com/,Active,"Page footer not updated since 2021, but STARLIMS is, and demo runs",24/07/2024,"Backup and restore,
Authentication,
Encryption in transit,
Secure infrastructure,
High availability and disaster recovery",Vendor-supported outward migration,Closed Source,"Life Sciences,
Chemistry,
Generic,
Biochemistry","Academic,
Industry,
Freemium (Number of users, functions),
Per person / Tiered Pricing,
Chargeable / Paid for / fee-based",Demo,"UK,
USA",Yes,English,"Online documentation,
User training (online, on site),
Support by provider (Consulting)",Unknown,None,"Barcode Scanner,
Chemical editor/sketching,
Plain text editor,
Table editor,
Scientific calculator",All formats,"Drag and Drop/File Chooser,
Mobile phone photo (via app)","Formats suitable for long term archiving,
Complete content in machine readable format",Define own templates,"Filtering,
Search for reactions by chemical structure","Comments,
Rights management,
Role management","Electronic signature,
Versioning","Good Laboratory Practice (GLP),
Good Manufacturing practice (GMP),
FDA CFR 21 Part 11","Ordering function,
Inventory (devices),
LIMS connectivity,
Materials database,
Sample Tracking","Box,
Jupyter,
Dropbox,
Google Drive,
One Drive,
ChemDraw (Revvity Signals),
Pubchem (NLM)","Data analysis,
Device control,
Autoupload/folder watch",Yes,Unknown,Unknown,"Python API,
SDK",Yes,Browser based,Provider's Cloud,Software as a Service,Unknown
ELN-06,SciNote,"SciNote is a platform for researchers in academia and industry who need an electronic lab notebook, inventory management and project management capabilities. With SciNote, laboratories can create, store and share protocols and SOPs, various scientific methods, operating procedures, equipment instructions, safety guidelines, etc. in a structured and easy way. It is easy to upload, write, customise and review different versions of protocols rich in content such as text, images, tables, checklists, chemical drawings, code, keywords, comments, etc. To save time and improve traceability, labs use SciNote protocol templates or public protocols from protocols.io to perform repetitive experiments or ensure reproducibility of results, saving time. Lab members can link protocols to experimental data at any time to ensure traceability of data.","SciNote, LLC","SciNote is a cloud-based ELN software with lab inventory, compliance, & team management tools used by the FDA, USDA and scientists in 100+ countries.",https://www.scinote.net/,Active,"Website alive and well, as is LinkedIn profile. July 2024 version released.",26/07/2024,"Encryption at rest,
Encryption in transit","Export to document format,
Backups of all notebooks simultaneously with transfer to an institutional repository or other storage location","Open Source,
Mozilla Public Licence 2.0",Generic,"Academic,
Freemium (Number of users, functions),
Industry,
Per person / Tiered Pricing,
Chargeable / Paid for / fee-based,
Free","Classroom,
Demo",USA,No,English,"Online documentation,
Support by provider (Consulting)",No,Unknown,"Barcode Scanner,
Plain text editor,
Table editor,
With internal links,
With external links,
Chemical editor/sketching",All formats,Drag and Drop/File Chooser,"Complete content in document format,
Formats suitable for publication","Import of own templates,
Define own templates,
Import from internet sources","Full text search,
Advanced/conditional search","Rights management,
Role management,
Comments","Audit Trail,
Timestamping,
Electronic signature,
Versioning","Good Laboratory Practice (GLP),
Good Manufacturing practice (GMP),
SAFE-BioPharma Digital Identity and Signature Standard,
ISO 27001,
General Data Protection Regulation (GDPR),
FDA CFR 21 Part 11","Inventory (devices),
LIMS connectivity,
Materials database,
Sample Tracking,
Freezer Management,
Ordering function","In-house plugins,
Protocols.io,
Microsoft Office Plug-in,
Other vendor products,
Marvin JS (ChemAxon)",Autoupload/folder watch,Yes,"Calendar,
Task management","Export possible,
Graphical,
Yes,
Project-related workflows,
Reports",REST API,No,"Browser based,
Local client,
Mobile Application,
Responsive Design","Provider's Cloud,
Cloud of own choice,
Local","On-premises,
Software as a Service","MacOS,
Windows,
Linux"
ELN-07,Uncountable (Unified Platform),"Uncountable is an all-in-one enterprise software that provides global R&D organizations with versatile laboratory software that integrates ELN, LIMS, and the most vital scientific data management systems into a single web-based platform. Uncountable’s web-based platform provides a seamless and comprehensive platform for scientists and technicians to work directly – allowing them to generate, capture, and aggregate high-quality, interconnected, and structured data across the entire organization from the very first point of entry. With Uncountable, you can accelerate the pace at which you can develop cutting-edge products at the forefront of innovation.",Uncountable,Uncountable's mission is to accelerate R&D by order of magnitude. Our founding team of MIT and Stanford engineers brings expertise in software development and data analytics.,https://www.uncountable.com/cloud-platform,Active,"Website alive and well, as is LinkedIn profile.",26/07/2024,"Secure infrastructure,
Authentication,
Role-based access,
High availability and disaster recovery",Unknown,Closed Source,Generic,"Industry,
Per person / Tiered Pricing",Demo,"Germany,
USA",Yes,Multilingual,"Online documentation,
User training (online, on site),
Support by provider (Consulting)","Can be turned off,
Configurable",Unknown,"Barcode Scanner,
Browser forms,
Chemical editor/sketching,
Dictation function,
Mathematical formula/equation editor,
Microtitre plates,
Rich text editor,
Scientific calculator",All formats,Drag and Drop/File Chooser,Complete content in machine readable format,Define own templates,"Database queries,
Full text search,
Search for reactions by chemical structure,
Advanced/conditional search","Comments,
Rights management,
Role management","Audit Trail,
Electronic signature,
Versioning,
Timestamping","Good Clinical practice (GCP),
Good Laboratory Practice (GLP),
Good Manufacturing practice (GMP),
HIPAA,
ISO 27001,
FDA CFR 21 Part 11","Inventory (devices),
LIMS connectivity,
Materials database,
Sample Tracking","Create own plug-ins,
In-house plugins,
SAP BTP","Autoupload/folder watch,
On request,
Data analysis,
Device control",Yes,"Calendar,
Taskboard,
Task management","Cross-project workflows,
Export possible,
Graphical,
Import possible,
Project-related workflows,
Reports,
Yes",REST API,Unknown,"Browser based,
Responsive Design","Cloud of own choice,
Provider's Cloud",Software as a Service,Linux
ELN-08,Dotmatics,"Dotmatics is a platform with many different capabilities that are listed below:
- Enable Collaborative Research: Capture and store experiments and share with internal and external collaborators in a single, intuitive framework to support data-driven decision making with secure, virtual notebook software.
- Capture Data Across Scientific Disciplines: Flexible templates in the digital lab notebook accommodate chemistry, biologics, chemicals and materials experiments and incorporate guidelines in maintaining a laboratory notebook effectively.
- Leverage Seamless Workflow Integration: Optimize the cycle of innovation with a cohesive notebook workflow, where data flows securely between the electronic lab book and experiment registration, screening, and decision support.",Dotmatics,"Dotmatics are owned by the company previously known as Insightful Science (Who own SnapGene, Genius and Prism and Lab Archives) and the entire set of companies have been rebranded as Dotmatics",https://www.dotmatics.com/,Active,Version release was 6.2.1 on the 19th December 2023,19/07/2024,"Continuous maintenance,
Unknown",Vendor-supported outward migration,Closed Source,"Biology,
Chemistry,
Consumables,
Energy,
Generic,
Genetics,
Life Sciences,
Natural Sciences,
Pharmacy","Chargeable / Paid for / fee-based,
Industry,
Per person / Tiered Pricing",Demo,"UK,
USA,
Korea",Yes,"English,
French,
German,
Korean,
Mandarin Chinese,
Italian,
Japanese,
Hebrew","Online documentation,
User training (online, on site),
Support by provider (Consulting)",Yes,On-site capabilities,"Barcode Scanner,
Browser forms,
Chemical editor/sketching,
Plain text editor,
Rich text editor,
Scientific calculator,
Table editor,
With internal links,
With external links,
HELM editor","Video formats,
Document formats,
Image formats,
MS Office formats,
Scientific formats,
Structured formats,
Table formats,
Packed formats",Drag and Drop/File Chooser,"Complete content in document format,
Unknown","Define own templates,
Import from internet sources,
Subject specific templates,
Microtitre plate templates","Full text search,
Database queries,
BLAST Search,
Advanced/conditional search,
Search for reactions by chemical structure","Rights management,
Role management","Versioning,
Timestamping,
Audit Trail,
Electronic signature",ISO 27001,"LIMS connectivity,
Materials database,
Sample Tracking,
Inventory (devices),
Freezer Management","ChemDraw (Revvity Signals),
Marvin JS (ChemAxon),
MarvinSketch (ChemAxon),
SnapGene (Dotmatics)","Autoupload/folder watch,
Data analysis",Yes,Task management,"Project-related workflows,
Cross-project workflows,
Reports,
Yes","Java API,
REST API",Yes,"Browser based,
Responsive Design,
Local client","Local,
Cloud of own choice,
Provider's Cloud","On-premises,
Software as a Service","Linux,
MacOS,
Windows"
ELN-09,eLabFTW,"With eLabFTW you get a secure, modern and compliant system to track your experiments efficiently but also manage your lab with a powerful and versatile database. If you do experimental research, then eLabFTW is for you. Whatever your field is. It is also well suited for universities, tinkerers or biotech companies. Keep track of your experiments and collaborate with your team easily!",Deltablot,"Deltablot is a french company producing open source software and secure, quality code.",https://www.elabftw.net/,Active,v5.0.4 released March 2024,19/07/2024,"Secure software development life cycle (SDLC),
Continuous maintenance,
Authentication,
Backup and restore,
Role-based access","Export to document format,
Export to table format,
Export to packed format,
Export to structured format,
Backups of all notebooks simultaneously with transfer to an institutional repository or other storage location",Open Source,"Generic,
Genetics,
Biology,
Chemistry,
Life Sciences","Free,
Independent of number of users,
Chargeable / Paid for / fee-based",Demo,France,Yes,"English,
Freely extensible,
Multilingual","Online documentation,
User training (online, on site),
Support by provider (Consulting)",Yes,None,"With internal links,
With external links,
Freehand/Sketches,
Chemical editor/sketching,
Table editor,
Plain text editor,
Rich text editor",All formats,Drag and Drop/File Chooser,"Formats suitable for publication,
Formats suitable for long term archiving,
Complete content in document format,
Complete content in machine readable format","Define own templates,
Import from internet sources","Database queries,
Full text search,
Tagging,
Filtering,
Advanced/conditional search","Rights management,
Role management,
Comments,
Notifications,
Shared calendar(s)/scheduling","Timestamping,
Versioning,
Locking","FERPA,
FISMA,
HIPAA,
Good Laboratory Practice (GLP)","Materials database,
Inventory (devices),
Sample Tracking",ChemDoodle (iChemLabs),None,No,"Calendar,
Task management","Project-related workflows,
Cross-project workflows","Python API,
Java API,
Other API,
REST API",Unknown,Browser based,"Provider's Cloud,
Local","On-premises,
Software as a Service",Linux
ELN-10,eLabJournal (eLabNext),"eLabJournal is a comprehensive electronic laboratory journal suitable for all laboratory environments, from small academic institutions and start-up companies to large academic institutions and global corporations. Besides the full electronic lab notebook solution, eLabJournal also enables you to streamline the entire workflow in a laboratory, including sample tracking, protocol management, device sharing and booking as well as managing supplies. ",eLabNext (Bio-Itech BV),"eLabNext was founded in 2010 and is a brand of Bio-ITech BV, part of Eppendorf group.",https://www.elabnext.com/products/elabjournal/,Active,Website footer showing 2024 and pages appear maintained,19/07/2024,"High availability and disaster recovery,
Storage in multiple data centers,
Secure infrastructure,
Backup and restore,
Encryption in transit,
Encryption at rest","Export to document format,
Export to structured format,
Export to table format",Closed Source,"Generic,
Life Sciences,
Biology,
Pharmacology,
Genetics,
Pharmacy","Chargeable / Paid for / fee-based,
Per person / Tiered Pricing,
Academic,
Industry","Classroom,
Demo","Netherlands,
USA,
Ireland",No,"English,
French,
German,
Spanish","User training (online, on site),
Online documentation,
Support by provider (Consulting)",No,Unknown,"Barcode Scanner,
Chemical editor/sketching,
Table editor,
With external links,
With internal links,
Freehand/Sketches,
Plain text editor,
Mathematical formula/equation editor,
Dictation function","Document formats,
Image formats,
Compressed formats,
Audio formats,
Video formats,
MS Office formats,
Table formats,
Structured formats","Drag and Drop/File Chooser,
Mobile phone photo (via app)","Formats suitable for publication,
Complete content in document format,
Formats suitable for long term archiving","Define own templates,
Microtitre plate templates,
Import of own templates,
Import from internet sources,
Subject specific templates","Full text search,
BLAST Search,
Filtering,
Advanced/conditional search,
Search for reactions by chemical structure","Role management,
Rights management,
Comments,
Shared calendar(s)/scheduling,
Task assignment","Audit Trail,
Timestamping,
Versioning,
Electronic signature","FERPA,
FISMA,
HIPAA,
ADA,
Good Laboratory Practice (GLP),
ISO 27001,
FDA CFR 21 Part 11","Inventory (devices),
Instrument management,
Materials database,
Sample Tracking,
Ordering function,
Freezer Management","Dropbox,
Google Drive,
Box,
Other vendor products,
DMP Tool,
Elemental Machines,
RackScan Analyzer (Eppendorf ),
SafeCode System (Eppendorf ),
VisioNize sense (Eppendorf ),
Label printing (FLUICS),
Immunarch (ImmunoMind),
Create own plug-ins,
Marvin JS (ChemAxon),
Mendeley (Elsevier),
Microsoft Office Plug-in,
mpVision (Modicus Prime),
Polygon AI (Rewire Neuro)","Autoupload/folder watch,
Data analysis",Yes,"Calendar,
Task management","Yes,
Cross-project workflows,
Project-related workflows","REST API,
SDK",No,"Browser based,
Mobile Application","Provider's Cloud,
Local,
Cloud of own choice","Software as a Service,
On-premises","Windows,
Linux"
