,Date,G-01,U-01,U-02,U-03,CF-01,CF-02,CF-04,CF-05,CF-06,CF-07,C-01,C-02,EF-01,EF-02,EF-03,EF-05,EF-06,IT-02,IT-03,IT-04
0,2024-01-16,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2
1,2024-02-05,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2
4,2024-02-16,0,0,0,0,0,2,0,2,2,2,0,0,0,2,0,0,0,0,0,0
3,2024-02-27,0,2,0,2,0,0,2,2,2,0,0,0,2,2,0,0,0,0,2,2
2,2024-03-13,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2
5,2024-08-23,0,2,0,0,2,2,0,0,2,2,0,0,2,2,2,2,0,0,2,2
6,2024-08-27,0,0,0,0,2,2,0,2,2,0,2,0,0,0,0,0,0,0,0,2
7,2024-09-03,0,0,0,2,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,2
8,2024-09-05,0,0,0,2,0,0,0,0,2,2,2,0,0,0,2,0,0,0,0,0
10,2024-09-11,0,2,0,2,0,0,0,2,2,2,2,0,0,0,0,0,0,2,0,0
21,2024-09-20,,,,,,,,,,,,,,,,,,,,
9,2024-09-20,0,0,0,2,2,2,2,2,2,2,2,2,2,0,2,0,2,0,2,0
20,2024-09-20,,,,,,,,,,,,,,,,,,,,
14,2024-09-23,,,,,,,,,,,1,1,1,2,1,2,2,1,1,2
15,2024-09-23,,2,0,2,2,1,2,1,2,1,,,,,,,,,,
16,2024-09-24,,2,1,2,,,,,,,,,2,1,0,1,1,0,1,1
17,2024-09-24,,,,,2,2,2,1,2,1,2,1,,,,,,,,
19,2024-09-25,2,1,0,0,,,,,,,1,1,,,,,,,,
18,2024-09-25,,,,,2,1,1,2,2,2,,,0,1,2,2,2,1,0,2
11,2024-09-27,0,0,0,0,2,2,2,2,2,2,2,0,0,2,0,0,2,0,0,0
12,2024-10-01,0,0,0,2,0,0,2,2,2,2,2,0,0,0,0,0,2,0,0,0
22,2024-10-03,,,,,,,,,,,2,2,,,,,,,,
13,2024-10-07,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0
23,2024-10-08,,,,,,,,,,,,,,,,,,,,
25,2024-10-11,,,,,,,,,,,,,,,,,,,,
26,2024-10-11,,,,,,,,,,,,,,,,,,,,
27,2024-10-11,,,,,,,,,,,,,2,2,1,2,1,,,
28,2024-10-11,,,,,,,,,,,,,,,,,,,,
29,2024-10-11,,2,0,1,2,2,2,2,2,2,,,,,,,,,,
24,2024-10-17,2,1,0,1,,,,,,,,,1,1,1,1,1,,,
39,2024-10-17,,,,,2,2,2,2,2,2,,,,,,,,,,
33,2024-10-21,,,,,2,1,2,1,2,1,,,,,,,,1,1,1
40,2024-10-21,,,,,,,,,,,0,0,,,,,,,,
34,2024-10-21,,2,0,2,,,,,,,2,0,1,1,1,1,2,,,
32,2024-10-21,,,,,,,,,,,0,0,2,1,1,1,1,,,
31,2024-10-21,,1,0,1,2,1,2,0,2,2,,,,,,,,0,2,1
30,2024-10-21,,,,,1,0,1,1,2,1,,,0,1,1,2,1,,,
35,2024-10-22,,,,,1,0,1,0,2,1,,,,,,,,0,2,1
36,2024-10-22,,1,1,1,,,,,,,2,2,2,1,1,2,2,,,
37,2024-10-22,,,,,,,,,,,,,1,2,1,1,1,0,1,1
38,2024-10-22,,0,1,1,1,1,1,1,2,2,2,1,,,,,,,,
41,2024-10-22,,,,,,,,,,,,,,,,,,,,
42,2024-10-23,,0,1,0,1,1,1,1,2,2,,,,,,,,,,
44,2024-10-25,,,,,,,,,,,0,1,,,,,,0,1,1
43,2024-10-31,,,,,2,0,1,1,2,0,2,0,0,1,0,1,1,,,
